time,latitude,longitude,MTERH_sfc
631152000.0,5.04,65.04,0.35946655
631173600.0,6.12,66.12,0.35946655
631195200.0,7.2,67.2,0.35946655
631216800.0,8.280000000000001,68.28,0.35946655
631238400.0,9.36,69.36,0.35946655
631260000.0,10.44,70.44,0.35946655
631281600.0,11.52,71.52,0.35946655
631303200.0,12.6,72.6,0.35946655
631324800.0,13.68,73.67999999999999,0.35946655
631346400.0,14.760000000000002,74.75999999999999,0.35946655
631368000.0,15.84,75.83999999999999,0.35946655
631389600.0,16.92,76.91999999999999,0.35946655
631411200.0,18.0,77.99999999999999,0.35946655
631432800.0,19.08,79.07999999999998,0.35946655
631454400.0,20.16,80.15999999999998,0.35946655
631476000.0,21.24,81.23999999999998,0.35946655
631497600.0,22.32,82.31999999999998,0.35946655
631519200.0,23.4,83.39999999999998,0.35946655
631540800.0,24.48,84.47999999999998,0.35946655
631562400.0,25.56,85.55999999999997,0.35946655
631584000.0,26.64,86.63999999999997,0.35946655
631605600.0,27.72,87.71999999999997,0.35946655
631627200.0,28.8,88.79999999999997,0.35946655
631648800.0,29.880000000000003,89.87999999999997,0.35946655
631670400.0,30.96,90.95999999999997,0.35946655
631692000.0,32.04,92.03999999999996,0.35946655
631713600.0,33.120000000000005,93.11999999999996,0.35946655
631735200.0,34.2,94.19999999999996,0.35946655
631756800.0,35.28,95.27999999999996,0.35951123
631778400.0,36.36,96.35999999999996,1362.3541
631800000.0,37.440000000000005,97.43999999999996,16.359474
631821600.0,38.52,98.51999999999995,0.35946655
631843200.0,,,0.35946655
631864800.0,,,0.35946655
631886400.0,,,0.35946655
631908000.0,,,0.35946655
631929600.0,,,0.35946655
631951200.0,,,0.35946655
631972800.0,,,0.35946655
631994400.0,,,0.35946655
632016000.0,,,0.35946655
632037600.0,,,0.35946655
632059200.0,,,0.35946655
632080800.0,,,0.35946655
632102400.0,,,0.35946655
632124000.0,,,0.35946655
632145600.0,,,0.35995847
632167200.0,,,0.35953116
632188800.0,,,0.35946655
632210400.0,,,0.35946655
632232000.0,,,0.35946655
632253600.0,,,0.35946655
632275200.0,,,0.35946655
632296800.0,,,0.35946655
632318400.0,,,0.35946655
632340000.0,,,0.35946655
632361600.0,,,0.35946655
632383200.0,,,0.35946655
632404800.0,,,0.35946655
632426400.0,,,0.35946655
632448000.0,,,0.35946655
632469600.0,,,0.35946655
632491200.0,,,0.35946655
632512800.0,,,0.35946655
632534400.0,,,0.35946655
632556000.0,,,0.35946655
632577600.0,,,0.35946655
632599200.0,,,0.35946655
632620800.0,,,0.35946655
632642400.0,,,0.35946655
632664000.0,,,0.35946655
632685600.0,,,0.35946655
632707200.0,,,0.35946655
632728800.0,,,0.35946655
632750400.0,,,0.35946655
632772000.0,,,0.35946655
632793600.0,,,0.35946655
632815200.0,,,0.35946655
632836800.0,,,80.35986
632858400.0,,,450.3573
632880000.0,,,0.35946655
632901600.0,,,0.35946655
632923200.0,,,0.35946655
632944800.0,,,0.35946655
632966400.0,,,0.35946655
632988000.0,,,0.35946655
633009600.0,,,0.35946655
633031200.0,,,0.35946655
633052800.0,,,0.35946655
633074400.0,,,0.35946655
633096000.0,,,0.35946655
633117600.0,,,0.35946655
633139200.0,,,0.35946655
633160800.0,,,0.35946655
633182400.0,,,0.35946655
633204000.0,,,0.35946655
633225600.0,,,0.35946655
633247200.0,,,0.35946655
633268800.0,,,0.35946655
633290400.0,,,0.35946655
633312000.0,,,0.35946655
633333600.0,,,0.35946655
633355200.0,,,0.35946655
